Receptor                                                                                            Best Model     pLDDT     pTM
-----------------------------------------------------------------------------------------------------------------------------
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014780.t01___SP_TM                               model_1        85.0      0.606
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014780.t02___SP_TM                               model_1        82.8      0.527
VITVvi_vCabSauv08_v1.1_Haplotig000001F_030.ver1.0.g014790.t01___SP_TM                               model_1        85.7      0.656
VITVvi_vCabSauv08_v1.1_Haplotig000002F_049.ver1.0.g027160.t01___SP_TM                               model_1        79.3      0.539
VITVvi_vCabSauv08_v1.1_Haplotig000002F_098.ver1.0.g030310.t01___SP_TM                               model_1        77.6      0.501
VITVvi_vCabSauv08_v1.1_Haplotig000002F_098.ver1.0.g030310.t03___SP_TM                               model_1        75.7      0.465
VITVvi_vCabSauv08_v1.1_Haplotig000003F_039.ver1.0.g040450.t01___SP_TM                               model_1        86.1      0.609
VITVvi_vCabSauv08_v1.1_Haplotig000003F_039.ver1.0.g040450.t02___SP_TM                               model_1        86.6      0.614
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059220.t01___SP_TM                               model_1        67.5      0.522
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059880.t01___SP_TM                               model_1        86.8      0.612
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059880.t02___TM                                  model_1        85.5      0.542
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059890.t01___TM                                  model_1        82.6      0.595
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059920.t01___SP_TM                               model_1        84.9      0.593
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t01___SP_TM                               model_1        74.2      0.463
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t05___SP_TM                               model_1        72.1      0.538
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t06___SP_TM                               model_1        72.2      0.469
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t07___SP_TM                               model_1        71.6      0.458
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t09___SP_TM                               model_1        71.3      0.444
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096360.t01___SP_TM                               model_1        59.1      0.435
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096470.t01___SP_TM                               model_1        85.5      0.620
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096500.t01___TM                                  model_1        76.3      0.451
VITVvi_vCabSauv08_v1.1_Haplotig000018F_038.ver1.0.g099770.t01___SP_TM                               model_1        85.4      0.619
VITVvi_vCabSauv08_v1.1_Haplotig000018F_038.ver1.0.g099770.t02___SP_TM                               model_1        83.4      0.673
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g114950.t01___SP_TM                               model_1        65.9      0.514
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124480.t01___SP_TM                               model_1        67.8      0.507
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124480.t02___SP_TM                               model_1        65.5      0.400
VITVvi_vCabSauv08_v1.1_Haplotig000028F_020.ver1.0.g125390.t01___SP_TM                               model_1        79.4      0.519
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151550.t01___TM                                  model_1        76.7      0.598
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151570.t01___TM                                  model_1        70.8      0.413
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151670.t01___TM                                  model_1        79.5      0.613
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151690.t01___TM                                  model_1        84.7      0.597
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151710.t01___SP_TM                               model_1        68.5      0.522
VITVvi_vCabSauv08_v1.1_Haplotig000044F_015.ver1.0.g152700.t01___SP_TM                               model_1        64.7      0.424
VITVvi_vCabSauv08_v1.1_Haplotig000046F_003.ver1.0.g153310.t01___SP_TM                               model_1        79.4      0.513
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159710.t01___TM                                  model_1        87.2      0.623
VITVvi_vCabSauv08_v1.1_Haplotig000051F_007.ver1.0.g159730.t01___TM                                  model_1        89.1      0.628
VITVvi_vCabSauv08_v1.1_Haplotig000051F_009.ver1.0.g160060.t01___SP_TM                               model_1        82.6      0.505
VITVvi_vCabSauv08_v1.1_Haplotig000051F_009.ver1.0.g160060.t02___SP_TM                               model_1        77.1      0.470
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160340.t01___SP_TM                               model_1        87.7      0.621
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160380.t01___SP_TM                               model_1        86.5      0.597
VITVvi_vCabSauv08_v1.1_Haplotig000051F_016.ver1.0.g160440.t01___TM                                  model_1        88.0      0.613
VITVvi_vCabSauv08_v1.1_Haplotig000052F_004.ver1.0.g160930.t01___TM                                  model_1        83.1      0.593
VITVvi_vCabSauv08_v1.1_Haplotig000052F_010.ver1.0.g161060.t01___TM                                  model_1        85.1      0.590
VITVvi_vCabSauv08_v1.1_Haplotig000052F_016.ver1.0.g161440.t01___TM                                  model_1        88.4      0.625
VITVvi_vCabSauv08_v1.1_Haplotig000052F_017.ver1.0.g161620.t01___SP_TM                               model_1        85.9      0.699
VITVvi_vCabSauv08_v1.1_Haplotig000052F_017.ver1.0.g161640.t01___SP_TM                               model_1        84.2      0.604
VITVvi_vCabSauv08_v1.1_Haplotig000054F_003.ver1.0.g163900.t01___SP_TM                               model_1        76.5      0.484
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t01___SP_TM                               model_1        86.4      0.632
VITVvi_vCabSauv08_v1.1_Haplotig000065F_003.ver1.0.g175540.t02___SP_TM                               model_1        83.4      0.662
VITVvi_vCabSauv08_v1.1_Haplotig000067F_012.ver1.0.g178830.t01___SP_TM                               model_1        85.0      0.587
VITVvi_vCabSauv08_v1.1_Haplotig000084F_001.ver1.0.g188110.t01___SP_TM                               model_1        65.8      0.502
VITVvi_vCabSauv08_v1.1_Haplotig000084F_001.ver1.0.g188110.t02___SP_TM                               model_1        67.6      0.512
VITVvi_vCabSauv08_v1.1_Haplotig000085F_008.ver1.0.g190190.t01___SP_TM                               model_1        78.9      0.519
VITVvi_vCabSauv08_v1.1_Haplotig000085F_008.ver1.0.g190190.t04___SP_TM                               model_1        79.1      0.507
VITVvi_vCabSauv08_v1.1_Haplotig000085F_008.ver1.0.g190190.t06___SP_TM                               model_1        79.8      0.583
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208720.t01___SP_TM                               model_1        84.2      0.598
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208780.t01___TM                                  model_1        83.2      0.494
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208810.t01___TM                                  model_1        71.5      0.541
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208870.t01___SP_TM                               model_1        88.8      0.592
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208880.t01___SP_TM                               model_1        87.2      0.613
VITVvi_vCabSauv08_v1.1_Haplotig000130F_007.ver1.0.g224180.t01___SP_TM                               model_1        73.6      0.470
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t01___TM                                  model_1        77.8      0.542
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t02___SP_TM                               model_1        77.7      0.497
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t03___SP_TM                               model_1        77.9      0.495
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t04___TM                                  model_1        78.2      0.525
